step,epoch,kind,loss
10,0.09512485136741974,train,1.9361
20,0.1902497027348395,train,1.8542
30,0.2853745541022592,train,1.7031
40,0.380499405469679,train,1.5659
50,0.4756242568370987,train,1.4808
60,0.5707491082045184,train,1.392
70,0.6658739595719382,train,1.3265
80,0.760998810939358,train,1.3177
90,0.8561236623067776,train,1.2744
100,0.9512485136741974,train,1.217
105,0.9988109393579072,eval,1.0620416402816772
110,1.0463733650416172,train,1.2161
120,1.1414982164090368,train,1.2211
130,1.2366230677764567,train,1.2202
140,1.3317479191438764,train,1.1833
150,1.426872770511296,train,1.1758
160,1.521997621878716,train,1.1486
170,1.6171224732461356,train,1.1414
180,1.7122473246135552,train,1.136
190,1.807372175980975,train,1.1513
200,1.9024970273483948,train,1.1418
210,1.9976218787158144,train,1.1228
210,1.9976218787158144,eval,0.9892032742500305
220,2.0927467300832343,train,1.0945
230,2.187871581450654,train,1.1284
240,2.2829964328180736,train,1.1172
250,2.3781212841854935,train,1.0954
260,2.4732461355529134,train,1.0936
270,2.568370986920333,train,1.1016
280,2.6634958382877527,train,1.0815
290,2.7586206896551726,train,1.099
300,2.853745541022592,train,1.0955
310,2.948870392390012,train,1.0945
315,2.9964328180737216,eval,0.9607201218605042
320,3.043995243757432,train,1.0491
330,3.1391200951248512,train,1.0727
340,3.234244946492271,train,1.0484
350,3.329369797859691,train,1.0654
360,3.4244946492271104,train,1.0522
370,3.5196195005945303,train,1.0968
380,3.61474435196195,train,1.0528
390,3.7098692033293696,train,1.0454
400,3.8049940546967895,train,1.0411
410,3.9001189060642094,train,1.0651
420,3.995243757431629,train,1.0735
420,3.995243757431629,eval,0.9427276253700256
430,4.090368608799049,train,1.0359
440,4.185493460166469,train,1.0102
450,4.280618311533888,train,1.043
460,4.375743162901308,train,1.0412
470,4.470868014268728,train,1.0326
480,4.565992865636147,train,1.0358
490,4.661117717003567,train,1.0435
500,4.756242568370987,train,1.0449
510,4.8513674197384065,train,1.0131
520,4.946492271105827,train,1.0526
525,4.9940546967895365,eval,0.9329221844673157
530,5.041617122473246,train,1.0148
540,5.136741973840666,train,1.0482
550,5.231866825208086,train,0.9959
560,5.326991676575505,train,1.0191
570,5.422116527942925,train,1.0191
580,5.517241379310345,train,1.0084
590,5.612366230677765,train,1.0133
600,5.707491082045184,train,1.0082
610,5.802615933412604,train,0.99
620,5.897740784780024,train,1.0268
630,5.992865636147443,train,1.032
630,5.992865636147443,eval,0.9261572957038879
640,6.087990487514864,train,1.0207
650,6.183115338882283,train,0.9853
660,6.2782401902497025,train,1.002
670,6.373365041617123,train,1.0066
680,6.468489892984542,train,1.0154
690,6.563614744351962,train,0.9952
700,6.658739595719382,train,1.0015
710,6.7538644470868014,train,1.0069
720,6.848989298454221,train,0.9996
730,6.944114149821641,train,0.9857
735,6.991676575505351,eval,0.9235397577285767
740,7.039239001189061,train,1.0256
750,7.13436385255648,train,1.0052
760,7.2294887039239,train,0.9976
770,7.32461355529132,train,0.9993
780,7.419738406658739,train,0.9996
790,7.51486325802616,train,0.986
800,7.609988109393579,train,0.9925
810,7.7051129607609985,train,0.9868
820,7.800237812128419,train,1.0107
830,7.895362663495838,train,1.014
840,7.990487514863258,train,1.0071
840,7.990487514863258,eval,0.9223189949989319
