step,epoch,kind,loss
10,0.09512485136741974,train,6.6599
20,0.1902497027348395,train,5.299
30,0.2853745541022592,train,3.7197
40,0.380499405469679,train,2.2569
50,0.4756242568370987,train,1.3956
60,0.5707491082045184,train,1.1389
70,0.6658739595719382,train,1.07
80,0.760998810939358,train,1.0294
90,0.8561236623067776,train,1.0182
100,0.9512485136741974,train,0.9672
105,0.9988109393579072,eval,0.9235938787460327
110,1.0463733650416172,train,1.0093
120,1.1414982164090368,train,0.9754
130,1.2366230677764567,train,0.9823
140,1.3317479191438764,train,0.9735
150,1.426872770511296,train,0.9771
160,1.521997621878716,train,0.9693
170,1.6171224732461356,train,0.9457
180,1.7122473246135552,train,0.9604
190,1.807372175980975,train,0.9602
200,1.9024970273483948,train,0.9321
210,1.9976218787158144,train,0.9448
210,1.9976218787158144,eval,0.8905460238456726
220,2.0927467300832343,train,0.9426
230,2.187871581450654,train,0.9273
240,2.2829964328180736,train,0.9211
250,2.3781212841854935,train,0.9551
260,2.4732461355529134,train,0.946
270,2.568370986920333,train,0.9394
280,2.6634958382877527,train,0.9175
290,2.7586206896551726,train,0.9058
300,2.853745541022592,train,0.9126
310,2.948870392390012,train,0.9115
315,2.9964328180737216,eval,0.8799352645874023
320,3.043995243757432,train,0.9145
330,3.1391200951248512,train,0.9134
340,3.234244946492271,train,0.8852
350,3.329369797859691,train,0.9035
360,3.4244946492271104,train,0.9121
370,3.5196195005945303,train,0.9123
380,3.61474435196195,train,0.906
390,3.7098692033293696,train,0.929
400,3.8049940546967895,train,0.894
410,3.9001189060642094,train,0.8914
420,3.995243757431629,train,0.9186
420,3.995243757431629,eval,0.8741834759712219
430,4.090368608799049,train,0.8905
440,4.185493460166469,train,0.8794
450,4.280618311533888,train,0.8853
460,4.375743162901308,train,0.8967
470,4.470868014268728,train,0.8888
480,4.565992865636147,train,0.8999
490,4.661117717003567,train,0.8799
500,4.756242568370987,train,0.8995
510,4.8513674197384065,train,0.8856
520,4.946492271105827,train,0.8864
525,4.9940546967895365,eval,0.8696317672729492
530,5.041617122473246,train,0.884
540,5.136741973840666,train,0.851
550,5.231866825208086,train,0.8921
560,5.326991676575505,train,0.8852
570,5.422116527942925,train,0.8637
580,5.517241379310345,train,0.8892
590,5.612366230677765,train,0.8789
600,5.707491082045184,train,0.8475
610,5.802615933412604,train,0.8908
620,5.897740784780024,train,0.8951
630,5.992865636147443,train,0.8681
630,5.992865636147443,eval,0.8694589734077454
640,6.087990487514864,train,0.867
650,6.183115338882283,train,0.8431
660,6.2782401902497025,train,0.8676
670,6.373365041617123,train,0.9004
680,6.468489892984542,train,0.8639
690,6.563614744351962,train,0.8811
700,6.658739595719382,train,0.8842
710,6.7538644470868014,train,0.8772
720,6.848989298454221,train,0.8781
730,6.944114149821641,train,0.8568
735,6.991676575505351,eval,0.8676739931106567
740,7.039239001189061,train,0.8559
750,7.13436385255648,train,0.8444
760,7.2294887039239,train,0.8552
770,7.32461355529132,train,0.8803
780,7.419738406658739,train,0.8448
790,7.51486325802616,train,0.8725
800,7.609988109393579,train,0.8692
810,7.7051129607609985,train,0.8575
820,7.800237812128419,train,0.8709
830,7.895362663495838,train,0.8758
840,7.990487514863258,train,0.8774
840,7.990487514863258,eval,0.8674624562263489
