step,epoch,kind,loss
10,0.2094240837696335,train,1.9269
20,0.418848167539267,train,1.6863
30,0.6282722513089005,train,1.5247
40,0.837696335078534,train,1.3332
47,0.9842931937172775,eval,1.0890462398529053
50,1.0471204188481675,train,1.2657
60,1.256544502617801,train,1.2101
70,1.4659685863874345,train,1.1633
80,1.675392670157068,train,1.1569
90,1.8848167539267016,train,1.118
95,1.9895287958115184,eval,0.9979418516159058
100,2.094240837696335,train,1.1018
110,2.303664921465969,train,1.0959
120,2.513089005235602,train,1.0879
130,2.7225130890052354,train,1.0651
140,2.931937172774869,train,1.0685
143,2.994764397905759,eval,0.9622440934181213
150,3.141361256544503,train,1.0553
160,3.350785340314136,train,1.0432
170,3.5602094240837694,train,1.0359
180,3.769633507853403,train,1.0404
190,3.979057591623037,train,1.0347
191,4.0,eval,0.9431408047676086
200,4.18848167539267,train,1.0151
210,4.397905759162303,train,1.0222
220,4.607329842931938,train,1.0018
230,4.816753926701571,train,0.9901
238,4.984293193717278,eval,0.932865560054779
240,5.026178010471204,train,1.0113
250,5.2356020942408374,train,0.9672
260,5.445026178010472,train,1.0204
270,5.654450261780105,train,0.9919
280,5.863874345549738,train,1.0135
286,5.989528795811518,eval,0.9266713857650757
290,6.0732984293193715,train,0.9717
300,6.282722513089006,train,0.987
310,6.492146596858639,train,0.9989
320,6.701570680628272,train,0.9786
330,6.9109947643979055,train,0.9785
334,6.994764397905759,eval,0.9216637015342712
340,7.12041884816754,train,0.967
350,7.329842931937173,train,0.9524
360,7.539267015706806,train,0.9756
370,7.7486910994764395,train,0.9944
376,7.87434554973822,eval,0.9218212366104126
